1,Asparagus
2,Broccoli
3,Carrots
4,Cauliflower
5,Celery
6,Corn
7,Cucumbers
8,Lettuce / Greens
9,Mushrooms
10,Onions
11,Peppers
12,Potatoes
13,Spinach
14,Squash
15,Zucchini
16,Tomatoes
17, BBQsauce
18,Gravy
19,Honey
20,HotSauce
21,Jam 
22,Ketchup
23,Mayonnaise
24,Pasta
25,Relish
26,Salad dressing
27,Salsa
28,SoySauce
29,Steak
30,Syrup
31,WorcestershireSauce
32,Butter / Margarine
33,Cottage cheese
34,Half & half
35,Milk
36,Sour cream
37,Whipped cream
38,Yogurt
39,Bagels
40,Buns 
41,Cookies
42,Pastries
43,Fresh bread
44,Pie
45,Pita bread
46,Sliced bread
47,Deodorant
48,Hand soap
49,Condoms
50,Cosmetics
51,Cotton swabs 
52,Facial cleanser
53,Facial tissue
54,Feminine products
55,Floss
56,Hair gel
57,Lip balm
58,Moisturizing lotion
59,Mouthwash
60,Shaving cream
61,Shampoo
62,Sunblock
63,Toilet paper
64,Toothpaste
65,Supplements
66,Air freshener
67,Bathroom cleaner
68,Bleach
69,Dishwasher soap
70,Garbage bags
71,Glass cleaner
72,Vacuum bags
73,Sponges
74,Apples
75,Avocados
76,Bananas
77,Berries
78,Cherries
79,Grapefruit
80,Grapes
81,Kiwis
82,Lemons 
83,Melon
84,Nectarines
85,Oranges
86,Peaches
87,Pears
88,Plums
89,Bouillon cubes
90,Cereal
91,Coffee 
92,Instant potatoes
93,Lime juice
94,Mac & cheese
95,Olive oil
96,Packaged meals
97,Pancake mix
98,Pasta
99,Peanut butter
100,Pickles
101,Rice
102,Tea
103,Vegetable oil
104,Vinegar
105,Bleu cheese
106,Cheddar
107,Cottage cheese
108,Cream cheese
109,Feta
110,Goat cheese
111,Mozzarella
112,Parmesan
113,Provolone
114,Ricotta
115,Sandwich slices
116,Swiss
117,Baking powder 
118,Bread crumbs
119,Cake mix
120,Cake icing 
121,Chocolate chips 
122,Flour
123,Shortening
124,Sugar
125,Sugar substitute
126,Yeast
127,CDRs
128,Notepad 
129,Glue 
130,Printer paper
131,Pens 
132,Postage stamps
133,Pencils
134,Bacon 
135,Beef
136,Chicken
137,Turkey
138,Ham 
139,Hot dogs
140,Lunchmeat
141,Turkey
142,Candy
143,Cookies
144,Crackers
145,Dried fruit
146,Granola bars / Mix
147,Nuts 
148,Oatmeal
149,Popcorn
150,Potato
151,Pretzels
152,Allergy Medicine
153,Antibiotic
154,Antidiarrheal Medicine
155,Aspirin
156,Antacid
157,Band-aid
158,Pain reliever
159,Arsenic
160,Asbestos
161,Cigarettes
162,Radionuclides
163,Vinyl chloride
164,Bagels
165,Chip dip
166,Eggs
167,English muffins
168,Fruit juice
169,Hummus
170,Tofu
171,Tortillas
172,Applesauce
173,Baked beans
174,Broth
175,Fruit
176,Olives
177,Tinned meats
178,Chicken
179,Soup 
180,Tomatoes
181,Veggies
182,Catfish
183,Crab
184,Lobster
185,Mussels
186,Oysters
187,Salmon
188,Shrimp
189,Tilapia
190,Tuna
191,Aluminum foil
192,Napkins
193,Non-stick spray
194,Paper towels
195,Plastic wrap
196,Sandwich / Freezer bags
197,Wax paper
198,Automotive
199,Batteries
200,Charcoal 
201,Flowers 
202,Insect repellent
203,Light bulbs
204,Newspaper 
205,Burritos
206,Fish sticks
207,Fries
208,Ice cream 
209,Juice concentrate
210,Pizza
211,Pizza Rolls
212,Popsicles
213,TV dinners
214,Vegetables
215,Basil
216,Black pepper
217,Cilantro
218,Garlic
219,Ginger
220,Mint
221,Oregano
222,Paprika
223,Parsley
224,Salt
225,Vanilla extract
226,Beer
227,Club soda 
228,Champagne
229,Gin
230,Juice
231,Mixers
232,Red wine 
233,Rum
234, Saké
235,Soda pop
236,Sports drink
237,Whiskey
238,Vodka
239,White wine
240,Baby food
241,Diapers
242,Lotion
243,Baby wash
244,Wipes
245,Cat food
246,Cat litter
247,Dog food
248,Flea treatment
249,Pet shampoo
